PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPUNAVAILREASON,EMPPOP,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,ASSUNEMP,BOTH,NOAVAIL,WORK
10000055,10000055,AB20,1,0,15,100,14,,95,80,5,5,0,5
10000055,10000055,AB27,1,1,20,88,13,CAH06-01-01,100,15,0,10,0,75
10000055,10000055,AB28,1,0,20,90,24,,100,30,0,40,0,35
10000055,10000055,AB29,1,0,20,91,22,CAH10-01,100,35,0,40,0,30
10000055,10000055,AB30,1,1,15,94,22,CAH17-01,90,25,5,45,5,20
10000055,10000055,AB33,1,0,15,89,14,,100,50,0,40,0,15
10000055,10000055,AB35,1,1,15,84,13,CAH06-01-01,95,70,5,15,0,15
10000055,10000055,AB36,1,1,20,88,13,CAH06-01-01,100,15,0,10,0,75
10000055,10000055,AB37,1,1,15,94,23,CAH17-01-02,90,25,5,45,5,20
10000055,10000055,AB38,1,1,,,,,,,,,,
10000055,10000055,AB39,1,1,,,,,,,,,,
10000055,10000055,AB40,1,1,,,,,,,,,,
10000163,10000163,BSCERSF-C608,1,1,,,,,,,,,,
10000163,10000163,BSCPF-C843,1,1,35,75,22,CAH02-03,100,30,0,5,0,65
10000163,10000163,BSHESF-C609,1,1,,,,,,,,,,
10000163,10000163,BSHPF-C841,1,1,,,,,,,,,,
10000163,10000163,BSPF-C800,1,1,,,,,,,,,,
10000163,10000163,BSSEHF-C607,1,1,,,,,,,,,,
10000163,10000163,BSSEHF-C813,1,1,,,,,,,,,,
10000163,10000163,BSSSF-C606,1,1,,,,,,,,,,
10000163,10000163,MCCF-B320,1,0,25,70,14,,100,5,0,5,0,90
10000216,10000216,177650,1,0,,,,,,,,,,
10000216,10000216,532986,1,0,,,,,,,,,,
10000248,10000248,3YA,1,1,45,85,13,CAH21-01-06,100,0,0,0,0,95
10000256,10007155,C2200P,2,1,,,,,,,,,,
10000291,10000291,K00001,1,0,95,74,14,,85,32,8,12,8,41
10000291,10000291,K00004,1,0,25,75,24,,80,30,15,10,10,40
10000291,10000291,K00005,1,0,25,90,14,,80,5,5,5,20,65
10000291,10000291,K00006,1,0,20,75,14,,90,20,0,0,10,75
10000291,10000291,K00007,1,0,15,95,14,,80,5,15,0,5,70
10000291,10000291,K00008,1,0,15,70,24,,80,15,5,0,15,65
10000291,10000291,K00009,1,0,10,90,14,,85,50,15,0,0,35
10000291,10000291,K00010,1,0,15,80,14,,100,5,0,0,0,95
10000291,10000291,K00011,1,0,15,75,14,,90,5,5,0,5,80
10000291,10000291,K00012,1,0,75,84,13,CAH21-01-03,82,12,5,1,13,69
10000291,10000291,K00014,1,0,20,85,14,,100,0,0,0,0,100
10000291,10000291,K00015,1,0,20,80,24,,65,15,20,5,10,45
10000291,10000291,K00016,1,0,15,70,24,,75,5,10,5,10,65
10000291,10000291,K00018,1,0,25,80,14,,95,30,5,10,0,50
10000291,10000291,K00019,1,1,30,85,13,CAH19-01-02,75,10,10,10,15,55
10000291,10000291,K00020,1,0,30,85,13,CAH19-01-02,75,10,10,10,15,55
10000291,10000291,K00023,1,0,40,75,13,CAH18-01-05,85,5,10,0,5,80
10000291,10000291,K00023,1,0,20,70,13,CAH19-01-05,55,25,20,0,25,25
10000291,10000291,K00024,1,0,20,70,13,CAH19-01-05,55,25,20,0,25,25
10000291,10000291,K00026,1,0,25,95,24,,90,25,5,5,5,65
10000291,10000291,K00027,1,0,20,85,14,,95,10,0,5,5,80
10000291,10000291,K00028,1,0,15,70,14,,80,15,15,5,5,65
10000291,10000291,K00029,1,0,15,85,14,,90,0,5,0,5,90
10000291,10000291,K00031,1,0,55,80,13,CAH21-01-06,84,7,11,4,5,73
10000291,10000291,K00031,1,0,40,75,13,CAH18-01-05,85,5,10,0,5,80
10000291,10000291,K00032,1,0,55,80,13,CAH21-01-06,84,7,11,4,5,73
10000291,10000291,K00032,1,0,30,75,13,CAH19-01-03,95,25,5,10,0,55
10000291,10000291,K00033,1,0,15,80,23,CAH10-01-08,70,20,20,0,5,50
10000291,10000291,K00035,1,1,195,89,12,CAH02-03,89,9,5,5,6,75
10000291,10000291,K00038,1,0,10,75,14,,75,10,10,10,15,60
10000291,10000291,K00040,1,0,30,80,14,,85,25,5,5,5,60
10000291,10000291,K00041,1,0,45,90,14,,90,15,5,0,0,70
10000291,10000291,K00042,1,0,25,75,24,,100,20,0,0,0,80
10000291,10000291,K00044,1,1,45,70,13,CAH20-01-01,75,25,10,0,10,50
10000291,10000291,K00044,1,1,30,75,13,CAH19-01-03,95,25,5,10,0,55
10000291,10000291,K00045,1,0,40,75,14,,75,25,10,0,10,50
10000291,10000291,K00048,1,0,15,85,14,,80,35,20,5,0,40
10000291,10000291,K00050,1,0,15,75,13,CAH20-02-01,80,30,20,5,0,45
10000291,10000291,K00050,1,0,30,75,13,CAH19-01-03,95,25,5,10,0,55
10000291,10000291,K00051,1,0,195,83,13,CAH17-01-04,82,9,9,3,8,70
10000291,10000291,K00052,1,0,195,83,13,CAH17-01-04,82,9,9,3,8,70
10000291,10000291,K00053,1,0,60,77,13,CAH17-01-02,80,8,11,5,8,67
10000291,10000291,K00054,1,0,60,77,13,CAH17-01-02,80,8,11,5,8,67
10000291,10000291,K00055,1,1,60,77,13,CAH17-01-02,80,8,11,5,8,67
10000291,10000291,K00056,1,0,15,90,24,,85,15,15,0,0,75
10000291,10000291,K00065,1,0,50,85,13,CAH17-01-08,80,5,10,0,10,70
10000291,10000291,K00066,1,0,15,90,13,CAH17-01-03,100,0,0,15,0,85
10000291,10000291,K00079,1,0,15,85,24,,75,45,15,0,10,30
10000291,10000291,K00082,1,1,330,83,13,CAH02-01-02,96,1,2,1,2,94
10000291,10000291,K00083,1,0,15,85,14,,55,5,20,5,30,40
10000291,10000291,K00085,1,1,50,85,13,CAH17-01-08,80,5,10,0,10,70
10000291,10000291,K00085,1,1,100,71,13,CAH16-01-01,84,31,8,12,8,41
10000291,10000291,K00087,1,1,120,80,13,CAH15-01-02,89,18,5,5,6,66
10000291,10000291,K00087,1,1,15,100,13,CAH15-01-03,85,35,5,0,5,55
10000291,10000291,K00092,1,1,120,85,12,CAH11-01,75,11,20,1,6,62
