"INSTITUTION","COURSETITLE","WORK OR STUDY","STUDY","UNEMPLOYED","WORK AND STUDY","NOT AVAILABLE","WORK"
"Queen's University Belfast","Accounting",87,28,2,15,11,44
"Queen's University Belfast","Accounting with French",88,27,2,15,10,46
"Queen's University Belfast","Accounting with French",95,35,0,15,0,45
"Queen's University Belfast","Accounting with Spanish",90,35,5,15,5,45
"Queen's University Belfast","Accounting with Spanish",88,27,2,15,10,46
"Queen's University Belfast","Actuarial Science and Risk Management",90,5,5,20,5,70
"Queen's University Belfast","Aerospace Engineering (Sandwich)",100,25,0,0,0,75
"Queen's University Belfast","Aerospace Engineering",55,10,35,10,10,35
"Queen's University Belfast","Aerospace Engineering (Undergraduate Masters with Sandwich year)",90,10,0,0,10,80
"Queen's University Belfast","Aerospace Engineering",90,30,15,0,0,55
"Queen's University Belfast","Food Science and Food Security (Undergraduate Masters)",95,15,0,0,5,85
"Queen's University Belfast","Food Science and Food Security with Professional Studies",95,15,0,0,5,85
"Queen's University Belfast","Agricultural Technology",95,0,5,15,0,80
"Queen's University Belfast","Agricultural Technology with Professional Studies (Sandwich)",90,30,5,10,5,50
"Queen's University Belfast","Applied Mathematics and Physics",88,39,9,6,3,42
"Queen's University Belfast","Applied Mathematics and Physics",90,50,5,5,0,35
"Queen's University Belfast","Applied Mathematics and Physics",90,40,10,10,0,40
"Queen's University Belfast","Anthropology",75,10,20,0,5,65
"Queen's University Belfast","Anthropology and English",94,35,3,15,4,44
"Queen's University Belfast","Anthropology and English",75,10,20,0,5,65
"Queen's University Belfast","Anthropology and French",95,35,0,15,0,45
"Queen's University Belfast","Anthropology and French",75,10,20,0,5,65
"Queen's University Belfast","Anthropology and History",75,10,20,0,5,65
"Queen's University Belfast","Anthropology and History",91,26,6,17,4,48
"Queen's University Belfast","Anthropology and Irish",75,10,20,0,5,65
"Queen's University Belfast","Anthropology and Irish",95,20,5,0,0,75
"Queen's University Belfast","Anthropology and Spanish",75,10,20,0,5,65
"Queen's University Belfast","Anthropology and Spanish",90,35,5,15,5,45
"Queen's University Belfast","Architecture",95,5,0,5,5,85
"Queen's University Belfast","Archaeology with French",95,35,0,15,0,45
"Queen's University Belfast","Archaeology with French",95,5,5,5,0,80
"Queen's University Belfast","Archaeology with Portuguese",95,5,5,5,0,80
"Queen's University Belfast","Archaeology with Portuguese",90,35,5,15,5,45
"Queen's University Belfast","Archaeology",95,5,5,5,0,80
"Queen's University Belfast","Archaeology with Spanish",90,35,5,15,5,45
"Queen's University Belfast","Archaeology with Spanish",95,5,5,5,0,80
"Queen's University Belfast","Archaeology and Irish",95,5,5,5,0,80
"Queen's University Belfast","Archaeology and Irish",95,20,5,0,0,75
"Queen's University Belfast","Archaeology and History",95,5,5,5,0,80
"Queen's University Belfast","Archaeology and History",91,26,6,17,4,48
"Queen's University Belfast","Archaeology (Undergraduate Masters)",100,10,0,0,0,90
"Queen's University Belfast","Archaeology & Palaeoecology",95,5,5,5,0,80
"Queen's University Belfast","Archaeology & Palaeoecology",95,35,5,5,0,50
"Queen's University Belfast","Archaeology & Palaeoecology and Geography",94,38,6,6,0,51
"Queen's University Belfast","Archaeology & Palaeoecology and Geography",95,35,5,5,0,50
"Queen's University Belfast","Archaeology & Palaeoecology and Geography",95,5,5,5,0,80
"Queen's University Belfast","Biochemistry with Professional Studies",95,45,5,5,0,45
"Queen's University Belfast","Biochemistry",100,55,0,10,0,35
"Queen's University Belfast","Broadcast Production",90,15,5,5,5,70
"Queen's University Belfast","Business Economics",80,10,5,0,15,65
"Queen's University Belfast","Human Biology",90,40,5,20,5,30
